title,Summarized Introduction,Methods Used,Results,Conclusions,authors
Rethinking Pedagogy: Interrogating Ways of Promoting Deeper Learning in Higher Educationpdf,"- O artigo aborda o ensino e a aprendizagem no ensino superior. 
- Ele enfatiza a necessidade de abordagens de aprendizado mais profundas. 
- Os alunos precisam de habilidades para o sucesso além do conhecimento do conteúdo. 
- As habilidades sociais complementam as habilidades técnicas em educação. 
- O aprendizado mais profundo prepara os alunos para as demandas do local de trabalho. 
- O artigo explora as competências necessárias para um aprendizado mais profundo. ","- Uma revisão eletrônica das competências de aprendizagem mais profunda foi conduzida.  
- Exemplos da vida real foram utilizados em materiais instrucionais.  
- Avaliações autênticas foram implementadas para contextualizar o aprendizado.  
- Os estudantes estavam envolvidos nos processos de desenvolvimento curricular.  
- Estratégias pedagógicas foram propostas para promover uma aprendizagem mais profunda. ","- O artigo enfatiza a necessidade de um aprendizado mais profundo no ensino superior. 
- Ele identifica as competências necessárias para as habilidades do século 21. 
- Estratégias para promover uma aprendizagem mais profunda são propostas. 
- O aprendizado mais profundo aprimora as habilidades de resolução de problemas e pensamento crítico. 
- Incentiva a aprendizagem contextualizada por meio de aplicativos da vida real. 
- A importância da meta-aprendizagem para a aprendizagem ao longo da vida é destacada. 
- O apoio das partes interessadas é crucial para implementar estratégias de aprendizado mais profundo. ","- O aprendizado mais profundo prepara os alunos para a resolução de problemas sociais e a aprendizagem ao longo da vida. 
- Os alunos adquirem habilidades críticas para futuros empregos por meio de um aprendizado mais profundo. 
- A transformação pedagógica e curricular é necessária no ensino superior. 
- As instituições devem adotar estratégias para promover um aprendizado mais profundo. ",
Book Review: Blended Learning Environments to Foster Self-Directed Learning.pdf,"- O artigo analisa um livro sobre ambientes de aprendizagem combinada. 
- Ele se concentra na promoção da aprendizagem autodirigida (SDL). 
- As contribuições vêm de autores experientes em estratégias de aprendizagem ativa. 
- O livro consiste em 10 capítulos com vários métodos pedagógicos. 
- Tem como alvo acadêmicos e profissionais interessados no aprimoramento do SDL. 
- O aprendizado aprimorado por tecnologia é enfatizado para melhorar as experiências dos alunos. 
- O livro está licenciado para uso gratuito. ","- Estudos de caso ilustrando práticas pedagógicas para SDL.  
- Abordagem de sala de aula invertida para apoiar as habilidades de metacognição e SDL.  
- Conceitualização da aprendizagem baseada em investigação e revisão da literatura.  
- Uso de sistemas de design assistido por computador e gerenciamento de aprendizagem.  
- Gamificação para aumentar o envolvimento dos alunos no ensino misto.  
- Aprendizagem cooperativa combinada com questões metacognitivas para SDL.   ","- O livro aprimora o aprendizado autodirigido em ambientes mistos. 
- Estudos de caso ilustram práticas pedagógicas eficazes para SDL. 
- A gamificação melhora o engajamento dos alunos e as habilidades de SDL. 
- A sala de aula invertida suporta habilidades de metacognição e SDL. 
- A prontidão do professor é crucial para uma aprendizagem combinada eficaz. 
- O aprendizado combinado promove o SDL durante a pandemia de COVID-19. ","- O livro aprimora o aprendizado autodirigido em ambientes mistos. 
- Estudos de caso ilustram práticas pedagógicas eficazes para SDL. 
- A gamificação pode melhorar o engajamento dos alunos e as habilidades de SDL. 
- A prontidão do professor é crucial para uma implementação eficaz do ensino misto. 
- O domínio afetivo melhora o SDL em ambientes de aprendizado combinado. 
- O aprendizado combinado aborda os desafios enfrentados durante a pandemia da COVID-19. ",
THE ANTECEDENTS TOWARD SELF-DIRECTED LEARNING AMONG DISTANCE LEARNER IN MALAYSIAN PUBLIC UNIVERSITIES.pdf,"- O artigo analisa a aprendizagem autodirigida em alunos à distância. 
- Explora o papel da autoeficácia no ensino superior. 
- Fatores individuais e externos afetam a capacidade de aprendizagem autodirigida. 
- Quatro hipóteses sobre motivação e satisfação com a vida são propostas. 
- O aprendizado autodirigido é crucial para o sucesso dos alunos à distância.  
- A motivação e a satisfação com a vida influenciam o desenvolvimento da aprendizagem autodirigida.  
- O estudo visa melhorar a compreensão da aprendizagem autodirigida. ","- O artigo analisa teorias e literatura anterior sobre aprendizagem autodirigida. 
- Propõe hipóteses relacionadas à motivação e satisfação com a vida. 
- Uma estrutura para aprendizagem autodirigida é desenvolvida. ","- A motivação afeta positivamente a capacidade de aprendizagem autodirigida.  
- A satisfação com a vida influencia significativamente a aprendizagem autodirigida.  
- A autoeficácia medeia a motivação e a relação de aprendizagem autodirigida.  
- A autoeficácia medeia a satisfação com a vida e a relação de aprendizagem autodirigida.  
- Mais pesquisas são necessárias sobre motivação e satisfação com a vida. ","- A autoeficácia é crucial para a capacidade de aprendizagem autodirigida.  
- As descobertas ajudarão as partes interessadas a melhorar a aprendizagem autodirigida.  
- Os alunos devem integrar teoria e prática para objetivos de aprendizagem.  
- O estudo identifica áreas para um melhor planejamento e implementação. ",
Exploratory Study of the Relationship between Self- Directed Learning and Academic Performance in a Web- Based Learning Environment.pdf,"- O artigo examina a aprendizagem autodirigida e o desempenho acadêmico. 
- Ele analisa seis estudos empíricos dos EUA e da Ásia. 
- O foco está em ambientes de aprendizagem baseados na web. 
- O impacto da aprendizagem autodirigida no sucesso acadêmico é analisado. 
- Os resultados mostram efeitos divergentes nos seis estudos de caso. ","- Revisão da literatura de seis estudos empíricos. 
- Seleção de casos de vários bancos de dados educacionais. 
- Nova escala de medição para aprendizagem autodirigida. 
- Pesquisa qualitativa para uma compreensão aprofundada. 
- Meta-análise para exploração estatística dos resultados. ","- O efeito da aprendizagem autodirigida no desempenho acadêmico é inconsistente. 
- Apenas um caso mostrou uma relação positiva. 
- Três casos da Ásia usaram o SDLRS chinês. 
- O tamanho pequeno da amostra afetou os resultados do estudo. 
- O desempenho de aprendizagem relatado por si mesmo pode distorcer os resultados. 
- Estudos de acompanhamento são necessários para explorar os fatores de influência. ","- O impacto da aprendizagem autodirigida no sucesso acadêmico é inconsistente. 
- Apenas um caso mostrou uma forte relação positiva. 
- Os fatores que afetam os resultados incluem dados demográficos e estilos de aprendizagem. 
- Estudos de acompanhamento são necessários para explorar esses fatores. 
- O crescimento do e-learning exige estratégias instrucionais eficazes. ",
A Conceptual Model for Understanding Self-Directed Learning in Online Environments.pdf,"- O artigo se concentra na aprendizagem autodirigida (SDL) em ambientes on-line. 
- Ele destaca a importância das habilidades de SDL para o aprendizado on-line. 
- As estruturas existentes abordam principalmente o SDL em configurações presenciais. 
- O estudo visa introduzir um modelo conceitual para SDL. 
- Ele analisa as perspectivas sobre SDL e seu impacto contextual. ","- O artigo apresenta um modelo conceitual baseado em pesquisa para SDL. 
- Ele analisa as perspectivas existentes sobre a aprendizagem autodirigida. 
- O modelo descreve componentes individuais e suas interações dinâmicas. 
- Ele discute as implicações para futuras pesquisas e práticas. ","- O artigo apresenta um modelo conceitual para SDL em contextos online. 
- Ele enfatiza a importância do contexto de aprendizagem em SDL. 
- O modelo identifica atributos pessoais que influenciam os processos de SDL. 
- Ele destaca os desafios do aprendizado on-line que afetam o SDL. 
- Futuras oportunidades de pesquisa em SDL e aprendizado on-line são sugeridas. ","- O SDL é crucial nos processos de educação e aprendizagem de adultos. 
- A compreensão do SDL precisa incluir contextos educacionais formais. 
- O contexto de aprendizagem influencia a autonomia do aluno e a utilização de recursos. 
- O aprendizado on-line apresenta desafios e oportunidades únicos de SDL. 
- Mais pesquisas são necessárias sobre SDL em ambientes online. ",
SELF-DIRECTED LEARNING: A META-ANALYTIC REVIEW OF ADULT LEARNING CONSTRUCTS.pdf,"- O estudo examina a aprendizagem autodirigida na educação de adultos. 
- Ele se concentra na eficácia do aprendizado da educação em marketing. 
- A aprendizagem autodirigida é uma construção fundamental da aprendizagem de adultos. 
- A pesquisa visa aprimorar as experiências de aprendizagem dos alunos. 
- Ele introduz o aprendizado autodirigido na literatura de educação de marketing. ","- Meta-análise da literatura de aprendizagem autodirigida existente. 
- Inclusão de estudos relatando os coeficientes de correlação de Pearson. 
- Abordagem de amostragem múltipla para representação abrangente do estudo. 
- Pesquisas computacionais em vários bancos de dados acadêmicos para estudos relevantes. 
- Revisão das seções de referência dos artigos identificados. 
- Pesquisas manuais em periódicos específicos para estudos adicionais. 
- Codificação de estudos sobre oito variáveis para análise. ","- A aprendizagem autodirigida se relaciona positivamente com o desempenho acadêmico.  
- Está ligado à aspiração e criatividade futuras.  
- A curiosidade está associada à aprendizagem autodirigida.  
- A satisfação com a vida se correlaciona positivamente com a aprendizagem autodirigida.  
- A metanálise confirma a importância da aprendizagem autodirigida na educação.  
- Alto N à prova de falhas indica validade das descobertas.   ","- A aprendizagem autodirigida se relaciona positivamente com o desempenho acadêmico.  
- Aumenta as aspirações futuras e a criatividade.  
- O aprendizado autodirigido melhora a satisfação com a vida e a curiosidade.  
- O SDL é crucial para a eficácia da educação de marketing.  
- Projetos SDL beneficiam estudantes durante e após a educação. ",
Merrian Andragogy and Self-Directed Learning: Pillars of Adult Learning Theory.pdf,"- O artigo explora teorias e práticas de aprendizagem de adultos. 
- Ele se concentra na andragogia e na aprendizagem autodirigida. 
- A educação de adultos evoluiu desde a década de 1920. 
- Nenhuma teoria explica a aprendizagem de adultos de forma abrangente. 
- Existe um mosaico de teorias e modelos na educação de adultos. 
- O capítulo avalia a relevância das teorias fundamentais hoje. 
- Destaca a importância do contexto na educação de adultos. 
- Futuras oportunidades de pesquisa em aprendizagem autodirigida são discutidas.  ","- O artigo discute a andragogia e a aprendizagem autodirigida. 
- Explora métodos de aprendizagem informais e incidentais. 
- Ele examina a aprendizagem transformacional e a reflexão crítica. 
- Vários modelos de processos de aprendizagem autodirigida são analisados. ","- Nenhuma teoria única explica todos os aspectos da educação de adultos. 
- A andragogia e a aprendizagem autodirigida são teorias fundamentais. 
- A aprendizagem informal e incidental é predominante na idade adulta. 
- A aprendizagem é um processo vitalício influenciado por estados emocionais. 
- A reflexão crítica é essencial para a aprendizagem transformacional. 
- A aprendizagem autodirigida promove autonomia e ação social. ","- A educação de adultos carece de uma única teoria abrangente. 
- Andragogia e aprendizagem autodirigida são teorias fundamentais. 
- A aprendizagem informal e incidental é predominante na educação de adultos.  
- Os estados emocionais influenciam os processos de aprendizagem de adultos. 
- A aprendizagem transformacional melhora a compreensão da criação de significado. 
- Aprender é um processo aditivo que dura toda a vida. 
- A andragogia é um modelo de suposições sobre a educação de adultos. ",
"The relationship among motivation, self‑monitoring, self‑management, and learning strategies of MOOC learners.pdf","- O artigo investiga as habilidades de aprendizagem autodirigida dos alunos do MOOC. 
- Ele examina as relações de motivação, automonitoramento e autogestão.  
- Os MOOCs aumentaram significativamente desde a pandemia da COVID-19. 
- Os alunos enfrentam desafios devido à baixa proporção entre instrutor e aluno. 
- O estudo visa aprimorar estratégias de aprendizagem em MOOCs. ","- Uma pesquisa on-line foi conduzida com alunos do MOOC. 
- A modelagem de equações estruturais (SEM) foi aplicada para análise. 
- A análise fatorial confirmatória (CFA) foi realizada antes do teste de hipóteses. 
- O teste de fator único de Harman detectou viés de método comum. ","- A motivação influencia positivamente o automonitoramento e a autogestão. 
- O automonitoramento afeta positivamente as habilidades de autogestão. 
- A autogestão não influencia o uso de estratégias de aprendizagem. 
- O automonitoramento e a autogestão não incentivam estratégias de aprendizagem.  
- A validade discriminante das variáveis latentes foi aceitável.  
- Baixas taxas de conclusão observadas em MOOCs.  
- A pesquisa incluiu 470 participantes de três MOOCs. ","- A motivação influencia o automonitoramento e a autogestão nos MOOCs.  
- O automonitoramento afeta positivamente as habilidades de autogestão.  
- A autogestão não influencia o uso de estratégias de aprendizagem.  
- Os alunos do MOOC precisam de aprendizado autodirigido para ter sucesso.  
- A motivação varia entre os alunos do MOOC, afetando os resultados.  
- A pesquisa deve se concentrar em melhorar a motivação e as estratégias dos alunos.  
- Existem pesquisas limitadas sobre habilidades de SDL em MOOCs.  
- Os MOOCs fornecem autonomia, mas exigem aprendizado autodirigido. ",
Using technology to encourage self-directed learning: The Collaborative Lecture Annotation System (CLAS).pdf,"- O artigo discute a aprendizagem autodirigida ao longo da vida no ensino superior. 
- Ele destaca a necessidade de aprendizado contínuo e adaptabilidade. 
- O Collaborative Lecture Annotation System (CLAS) é introduzido como uma ferramenta. 
- O CLAS visa aumentar o envolvimento dos alunos e a propriedade da aprendizagem. 
- O artigo explora mudanças pedagógicas para promover habilidades de aprendizagem autodirigida. ","- O artigo descreve o Collaborative Lecture Annotation System (CLAS). 
- O CLAS utiliza tecnologia de anotação social para engajamento dos alunos. 
- A análise de aprendizagem é empregada para acompanhar o progresso do aluno. 
- A visualização de dados auxilia na avaliação da compreensão do aluno. 
- As anotações são agregadas para comparação e feedback de grupos. ","- O CLAS promove habilidades de aprendizagem autodirigida nos alunos.  
- Aumenta o envolvimento e a motivação dos alunos durante as palestras.  
- A análise da aprendizagem ajuda a monitorar o progresso e a compreensão dos alunos.  
- O CLAS facilita a colaboração entre pares por meio de anotações compartilhadas.  
- Pesquisas em andamento avaliam o impacto do CLAS nos resultados da aprendizagem.  
- Ele ajuda os instrutores a identificar os alunos que precisam de ajuda adicional.   ","- O CLAS promove a aprendizagem autodirigida em contextos educacionais tradicionais. 
- A tecnologia pode aprimorar as práticas pedagógicas existentes para habilidades de SDL. 
- A análise da aprendizagem pode motivar e apoiar o engajamento dos alunos. 
- Mais pesquisas são necessárias sobre o impacto do CLAS na aprendizagem. 
- As habilidades SDL podem ser desenvolvidas dentro das restrições educacionais atuais. ",
Self-directed Learning in Health Professions Education.pdf,"- O artigo discute a aprendizagem autodirigida na educação de profissões da saúde. 
- A aprendizagem autodirigida é vital para a aprendizagem ao longo da vida na medicina. 
- O conceito continua difícil de definir e avaliar. 
- Uma estrutura baseada nos componentes de Malcolm Knowles é apresentada. 
- Estudos futuros são necessários para padronizar os currículos de aprendizagem autodirigida. ","- Revisão da literatura sobre aprendizagem autodirigida no ensino de profissões da saúde. 
- Pesquise no MEDLINE usando palavras-chave específicas relacionadas à aprendizagem autodirigida. 
- Critérios de inclusão para artigos baseados em metodologia definida de aprendizagem autodirigida. 
- Avaliação da aplicação e eficácia dos componentes do SDL em programas educacionais. ","- 926 artigos preencheram os critérios de elegibilidade para revisão. 
- 106 artigos foram considerados relevantes para a revisão do texto completo. 
- Os principais componentes da aprendizagem autodirigida foram identificados. 
- O grupo SDL teve uma pontuação mais alta em assuntos específicos do que o grupo controle. 
- Nenhum artigo mostrou SDL inferior à didática tradicional. ","- A aprendizagem autodirigida (SDL) promove a aprendizagem ao longo da vida na educação médica. 
- Os componentes do SDL carecem de evidências de eficácia e relevância individuais. 
- Mais pesquisas são necessárias para avaliar a eficácia do SDL na educação. 
- As características do aluno adequadas para o SDL requerem investigação adicional. ",
Promoting Policy Perspectives on Self-Directed Learning as a Transformative Strategy for Higher Education,"- O artigo se concentra na aprendizagem autodirigida no ensino superior.  
- Explora a promoção da aprendizagem autodirigida como uma estratégia transformadora.  
- A teoria transformadora da aprendizagem autodirigida propõe estratégias políticas.  
- Ele enfatiza o empoderamento dos facilitadores e as habilidades de orientação.  
- A análise inclui estipulações políticas do Livro Branco sobre Educação 3.  
- A pedagogia de Freire e o aprendizado de Kolb são utilizados como sugestões.  
- As descobertas destacam o aprimoramento das habilidades de aprendizagem autodirigida dos alunos.  
- Estratégias para aumentar a confiança dos alunos são recomendadas.   ","- Análise temática das estipulações políticas no Livro Branco sobre Educação 3.  
- Sugestões baseadas na pedagogia crítica de Freire.  
- Incorporação dos princípios ativos de aprendizagem experiencial de Kolb. ","- Alunos aprimorados em aprendizado autodirigido, aprendizado independente e consciência de responsabilidade. 
- Estratégias recomendadas para aumentar a confiança na aprendizagem autodirigida. ","- Os alunos podem aprimorar as habilidades de aprendizagem autodirigida e a consciência de responsabilidade. 
- Estratégias devem ser implementadas para criar confiança na aprendizagem autodirigida. ",Aloysius Claudian
Developing Self-Directed Learners,"- O artigo discute a aprendizagem autodirigida em ambientes educacionais. 
- Ele define a aprendizagem autodirigida e seus desafios. 
- O artigo diferencia a aprendizagem autodirigida de termos semelhantes. 
- Ele enfatiza a necessidade de aprendizagem ao longo da vida na área da saúde. 
- Estratégias para implementar a aprendizagem autodirigida são exploradas. ","- Discussão das definições e desafios da aprendizagem autodirigida.  
- Estratégias para implementar a aprendizagem autodirigida na educação.  
- Evidências empíricas para o desenvolvimento da aprendizagem autodirigida.  
- Diferenciação de terminologias educacionais similares.  
- Métodos de avaliação da prontidão para a aprendizagem autodirigida.  
- Uso de contratos de aprendizagem para promover a aprendizagem autodirigida.  
- Técnicas de andaimes para ensinar aprendizagem autodirigida. ","- Define a aprendizagem autodirigida, seus desafios e estratégias de implementação. 
- Discute a evidência empírica da aprendizagem autodirigida no ensino superior. ","- Define a aprendizagem autodirigida, seus desafios e estratégias de implementação.   
- Enfatiza a importância do planejamento do corpo docente para os desafios na concepção do curso. ","Jennifer D. Robinson, Adam M. Persky"
Guidelines and strategies for fostering and enhancing self-directed online learning,"- O artigo se concentra em estratégias de aprendizagem on-line autodirigidas.  
- É voltado para alunos que usam MOOCs e recursos educacionais abertos.  
- Os autores conduziram estudos para motivar e aprimorar as habilidades dos alunos.  
- Apresenta 15 diretrizes práticas para design instrucional.  
- As diretrizes visam melhorar as habilidades de autogestão e automonitoramento.  
- A esperança é que os designers instrucionais adotem amplamente.   ","- Realizou extensas revisões da literatura.  
- Pesquisas administradas para coletar dados.  
- Conduziu entrevistas com instrutores e alunos do MOOC.  
- Analisou o conteúdo do curso para obter insights.   ","- Fornece 15 diretrizes para promover o aprendizado on-line autodirigido. 
- As estratégias visam aprimorar as habilidades de autogestão e automonitoramento dos alunos nos MOOCs. ","- Fornece 15 diretrizes para promover o aprendizado on-line autodirigido. 
- Visa aprimorar as habilidades de autogestão e automonitoramento dos alunos nos MOOCs. ","Mei-Hua Zhu, Curtis J. Bonk"
The Concept of Self-Directed Learning: Implications for Practice in the Undergraduate Curriculum.,"- A aprendizagem autodirigida (SDL) enfatiza a responsabilidade do aluno e estratégias personalizadas. 
- O SDL promove a aprendizagem ao longo da vida e requer esforços em vários níveis. 
- Estratégias como salas de aula invertidas e aprendizado baseado em problemas aprimoram o SDL. ","- Salas de aula invertidas, ensino recíproco, métodos aprimorados por tecnologia, aprendizado baseado em problemas, projetos em grupo ","- Discute o conceito, as estratégias e a implementação da aprendizagem autodirigida na educação médica. 
- Enfatiza a importância das habilidades de SDL para graduados em medicina indianos. 
- O SDL exige esforços nos níveis de professores e institucionais. ","- O SDL requer esforços nos níveis institucional e de professores para implementação. 
- Estratégias como salas de aula invertidas e aprendizado baseado em problemas promovem o SDL de forma eficaz. ","-. Anshu, Piyush Gupta, Tejinder Singh"
